No,企業名,主要三品目①,主要三品目②,主要三品目③,企業HP
308,株式会社ナディック,プレス金型設計,シートゲージ、チャート,パイプ内面バリ無しプレス穴あけ技術,https://www.nc-net.or.jp//company/5093/
309,富士岐工産株式会社大分事業所,SUS、FRP、塩ビ配管やダクト類 製作・据付,各種溶射による機械部品補修,各種溶射による現地補修,https://www.nc-net.or.jp//company/48623/
310,平和産業株式会社,精密試作加工,3Dソフトの加工,各種溶射による現地補修,https://www.nc-net.or.jp//company/69225/
311,株式会社ハイタック,深穴加工・ガンドリル加工,ホーニング加工 （精密仕上げ加工）,外形加工 / マシニング加工　,https://www.nc-net.or.jp//company/85016/
312,株式会社サンユー,工作機械部品(長尺シャフト・軸物・フランジ物),特殊鋼加工,深穴加工（歪取り含む）,https://www.nc-net.or.jp//company/48603/
313,株式会社冨士精工,精密プラスチック金型設計製造,精密プラスチック成形加工,液晶テレビ製造販売,https://www.nc-net.or.jp//company/79662/
314,株式会社ヒロテック,ダイアフラムポンプ,温度コントロールバス,ワイヤ伸長式変位センサ,https://www.nc-net.or.jp//company/85706/
315,株式会社三ツ知,冷間圧造,切削加工,組み立て,https://www.nc-net.or.jp//company/68905/
316,ヒラサワ機工株式会社本社工場,金型部品加工,超精密丸ピン加工,金型設計製作,https://www.nc-net.or.jp//company/47821/
317,アサヒ電器工業株式会社,高密度表面実装,試作・少ロットの基板組立,プリント基板の改造・修理,https://www.nc-net.or.jp//company/72189/
318,株式会社日乃本錠前,プレス,ダイカスト,樹脂成形,https://www.nc-net.or.jp//company/46662/
319,株式会社高岡工業所,機械修理,メンテナンス,据付,https://www.nc-net.or.jp//company/33445/
320,"C.K. MACHINE TOOL CO., LTD.",板金切断機,板金プレス機,板金折り機,https://www.nc-net.or.jp//company/90304/
321,株式会社共立鋳造所,"各種鋳物(鋳鉄,SUS,青銅,黄銅,アルミ製)製品製造",機械(SS)部品製造,美術工芸品,https://www.nc-net.or.jp//company/78949/
322,明興電工株式会社電子部豊富工場,ワイヤーハーネス,導体加工,電子機器類アセンブリ,https://www.nc-net.or.jp//company/74562/
323,井上スプリング和田山工場,引きバネ,トーションバネ,押しバネ,https://www.nc-net.or.jp//company/73807/
324,Apex Electricals,引きバネ,トーションバネ,押しバネ,https://www.nc-net.or.jp//company/86915/
325,UNISIATECH,精密部品加工,プラスチック成型,プレス加工,https://www.nc-net.or.jp//company/68714/
326,Shree Techno Engineers,精密部品加工,プラスチック成型,プレス加工,https://www.nc-net.or.jp//company/86960/
327,有限会社ハ-シ,板金・プレス,タイヤモールド製造,"鍛造,熱処理,",https://www.nc-net.or.jp//company/81848/
328,有限会社タムラ精工,400*1000*600=Z/X/Y  ケース,焼き入れ金型,"鍛造,熱処理,",https://www.nc-net.or.jp//company/69185/
329,芝電化株式会社,偏向ヨーク,トランス用ボビン,トランスAssy,https://www.nc-net.or.jp//company/5639/
330,"JSR ENTECH CO.,LTD.",ミツトヨマシン、測定器、手工具,研削工具、 切削工具、 油圧装置,トランスAssy,https://www.nc-net.or.jp//company/93963/
331,有限会社共同設計企画,ACF自動貼付装置,FPD外観検査装置,トランスAssy,https://www.nc-net.or.jp//company/86016/
332,有限会社クドー精工,300㌧クラス順送プレス金型,FPD外観検査装置,トランスAssy,https://www.nc-net.or.jp//company/74918/
333,建名精密企業股份有限公司,コネクター金型部品キャビティ・ーコア,医療器材,電子関連成形部品,https://www.nc-net.or.jp//company/91640/
334,有限会社San xuat Thuong mai Dich vu Thinh Khang,工業用樹脂製品,家庭用樹脂製品,電子関連成形部品,https://www.nc-net.or.jp//company/88632/
335,Flasky Electrical & Engineering Pte Ltd,精密機械加工製品,鍛造・鋳造部品の二次加工製品,ヒートシンク,https://www.nc-net.or.jp//company/76202/
336,株式会社シー・エム・ジー,トレーニング器具,トレーニング器具製作・組み立て,日焼けマシン,https://www.nc-net.or.jp//company/74139/
337,日興電具株式会社,電子部品販売,トレーニング器具製作・組み立て,日焼けマシン,https://www.nc-net.or.jp//company/75769/
338,株式会社テッククリエイト,電子部品自動組立機,治工具,日焼けマシン,https://www.nc-net.or.jp//company/84090/
339,スギエンジニアリング,難削材、金属、樹脂、超硬、等の機械加工,治工具,日焼けマシン,https://www.nc-net.or.jp//company/87168/
340,第一金属株式会社,ばね材料：ピアノ線、硬鋼線、ばね用ステンレス（線・板・帯）,材料加工：直線カット、面取り、尖頭、スリッター、メッキ,課題解決力長年にわたる取引で培われた経験・知識：,https://www.nc-net.or.jp//company/78217/
341,アークテック株式会社,券売機用部品,自動改札機部品,精密治具・洗浄カゴ,https://www.nc-net.or.jp//company/3038/
342,Jour  de  anjaricu,レディース・メンズ アパレル全般,ユニフォーム・スポーツベスト・ペット用洋服,ネームプレート・ブックカバー・しおり(金属可),https://www.nc-net.or.jp//company/84646/
343,KANSAI TECHNO,水門、除塵機,養殖池向け水攪拌用ギヤーボックス各種,一般産業用機械、工場設備,https://www.nc-net.or.jp//company/45788/
344,"FINE TECHNIX CO.,LTD","TFT-LCD  Chassis 製造及び LED 照明、灯器具一体製造,販売","TV用 圧出バー , Monitor, Note PC ","Tablet PC用 Chassis , モバイル用 Hinge, Sidekey",https://www.nc-net.or.jp//company/87764/
345,株式会社 尾川パイプ,ステンレス・SGP白黒鋼管製規格パイプニップル,ステンレス・鋼管製規格ソケット,別注オーダーメイドニップル,https://www.nc-net.or.jp//company/89189/
346,株式会社ラヴォックス,工作機械、電子機器、制御基板修理サービス,電子機器、基板設計開発、試作、量産,医療機器製造販売業,https://www.nc-net.or.jp//company/84858/
347,株式会社中島電機製作所,モーター／発電機／エンジン,電子機器、基板設計開発、試作、量産,医療機器製造販売業,https://www.nc-net.or.jp//company/92749/
348,オヂヤセイキ株式会社,ねじゲージ,リングゲージ,エアマイクロメータ,https://www.nc-net.or.jp//company/95165/
349,株式会社東洋レンズ岩手工場,デジカメ用レンズ,レーザーピックアップレンズ,ビデオ用レンズ,https://www.nc-net.or.jp//company/74568/
350,多摩川精機株式会社,高精度角度センサー、シンクロ,サーボモータ,官庁向け特殊制御装置,https://www.nc-net.or.jp//company/70819/
351,株式会社ジーエス・ユアサテクノロジー,自動車用バッテリー,産業用バッテリー,特殊バッテリー,https://www.nc-net.or.jp//company/80924/
352,"TP MACHINE PARTS CO., LTD.",自動車部品,空調部品,特殊バッテリー,https://www.nc-net.or.jp//company/94138/
353,日本ゲージ株式会社,自動計測装置,シャフト曲がり矯正機,ギヤチェッカー,https://www.nc-net.or.jp//company/79491/
354,桜総業株式会社,ワイヤーハーネス製造,表面実装基板加工,ギヤチェッカー,https://www.nc-net.or.jp//company/5721/
355,エヌテクノロジー株式会社,ＣＡＤビューワ,3次元データ共有サービス,ギヤチェッカー,https://www.nc-net.or.jp//company/74904/
356,SOMBOON ADVANCE TECHNOLOGY PUBLIC COMPANY LIMITED,自動車産業向け自動車部品の製造,3次元データ共有サービス,ギヤチェッカー,https://www.nc-net.or.jp//company/95310/
357,koyo電子,プログラムブルコントローラ,ロータリエンコーダ,近接スイッチ,https://www.nc-net.or.jp//company/74068/
358,有限会社宮川製作所,ソレノイドコイル,電機部品組み立て,近接スイッチ,https://www.nc-net.or.jp//company/75066/
359,オリエンタルコマース,板金塗装用消耗品、ポリシート・マスカー・容器,建築・自動車・園芸・農業用養生シート及びポリ袋,食品・産業用包装資材・フィルム製造・加工,https://www.nc-net.or.jp//company/84025/
360,GC-NET,精密自動機部品,精密金型部品,一般自動機部品,https://www.nc-net.or.jp//company/94966/
361,有限会社CC Japan,アルミ・ステンレス製金属部品加工,精密金属加工,板金加工,https://www.nc-net.or.jp//company/81032/
362,ワボウ電子株式会社浅井工場,プリント基板の実装・製品組立,半導体部品の組立製造,ソーラー部品の加工製造,https://www.nc-net.or.jp//company/49643/
363,株式会社東邦製作所戸塚工場,非破壊検査を伴うフランヂ口金具製造,免震ゴム支承用金型設計・製作,ベルトコンベヤ用コンベヤクリーナー製作・販売,https://www.nc-net.or.jp//company/58770/
364,株式会社新興技術研究所,自動化機械、設備,省力化機械,メカトロニクス技術教育機器,https://www.nc-net.or.jp//company/33413/
365,Apollo Machinery,自動化機械、設備,省力化機械,メカトロニクス技術教育機器,https://www.nc-net.or.jp//company/86863/
366,日比野化学工業株式会社,ユニットバス,浄化槽,エアロパーツ,https://www.nc-net.or.jp//company/73674/
367,株式会社上島製作所,摩耗試験機,加硫試験機,超低温ガス発生装置,https://www.nc-net.or.jp//company/91973/
368,株式会社アキラ金型大阪,自動車のハーネス・スピーカー金型,家電製品(冷蔵庫・食洗機・パソコン・テレビなど),携帯電話・MP3・小物透明部品・文具など,https://www.nc-net.or.jp//company/78918/
369,協和シール工業株式会社,Oリング,パッキン,携帯電話・MP3・小物透明部品・文具など,https://www.nc-net.or.jp//company/85649/
370,有限会社San xuat Xay dung va Xuat nhap khau Nguyen Vinh,六角網,マスクのカバー,自動車のライト,https://www.nc-net.or.jp//company/88440/
371,株式会社I・H・S,電子機器の設計、製造,マスクのカバー,自動車のライト,https://www.nc-net.or.jp//company/88481/
372,株式会社 インターモールド,内装品型全般：天井、フロアカーペット、トランクトリム、ダッシ、INSULATOR等、,マスクのカバー,自動車のライト,https://www.nc-net.or.jp//company/85861/
373,HI TOOL,OA&amp;AV 外装品金型,自動車外装品金型,機構部品精密金型,https://www.nc-net.or.jp//company/72582/
374,Renown Industries,OA&amp;AV 外装品金型,自動車外装品金型,機構部品精密金型,https://www.nc-net.or.jp//company/86885/
375,株式会社ムトウ,自動車部品内外装、メーター、集中スイッチ,複写機の筐体、内装部品金型,他社製金型メンテナンス,https://www.nc-net.or.jp//company/20893/
376,藤伍精機株式会社,精密順送プレス型設計・開発・製作,微細試作・Assy試作など多種試作品・精密治具,順送プレス加工品,https://www.nc-net.or.jp//company/83436/
377,株式会社マツシマメジャテック,マイクロ波レベル計,サウンジング,ダンパモータ,https://www.nc-net.or.jp//company/81488/
378,株式会社牛窪鋳造所,強靭鋳鉄,ダクタイル鋳造,機械加工,https://www.nc-net.or.jp//company/81798/
379,株式会社滝田,精密板金加工、溶接、組立,計装筐体板金、溶接、組立,プレス加工、プレス金型製作,https://www.nc-net.or.jp//company/75038/
380,株式会社巧工業,ステンレスネジの大量電解研磨,高速めっき技術,屈曲パイプへの内面めっき,https://www.nc-net.or.jp//company/70622/
381,株式会社日盛精密,金型,射出,プラスチック金属製作,https://www.nc-net.or.jp//company/80907/
382,YONT PHOL DEE FOUNDRY,精米機,米の品質試験装置,小型精米機,https://www.nc-net.or.jp//company/89771/
383,名北工業株式会社,航空機用材料の在庫、切断販売,﻿﻿,浸透探傷検査請負,https://www.nc-net.or.jp//company/94648/
384,三栄精工株式会社,精密切削加工,精密ネジ加工,浸透探傷検査請負,https://www.nc-net.or.jp//company/58712/
385,松下工業 株式会社,表面処理加工(フッソ樹脂コーティング、溶射),産業用機械製造販売,産業用資材販売,https://www.nc-net.or.jp//company/45998/
386,KOHBYO,特殊精密ネジ,圧造シャフト,圧造リベット,https://www.nc-net.or.jp//company/74821/
387,協和電機化学株式会社,合成樹脂成形加工,電子機器、部品製造,圧造リベット,https://www.nc-net.or.jp//company/47693/
388,イーテック株式会社,携帯電話,カーオーディオ全般,液晶モジュール,https://www.nc-net.or.jp//company/73683/
389,宮川化成工業株式会社金型部,プラスチック射出成型用金型,カーオーディオ全般,液晶モジュール,https://www.nc-net.or.jp//company/72567/
390,株式会社 荒畑ステンレスパイプ,精密ステンレスパイプ製造,荒畑の折畳み物干し台,ステンレス塔婆立,https://www.nc-net.or.jp//company/46482/
391,有限会社藤原製作所,プラスチック金型　設計　製作,ブロー金型　設計　製作,ステンレス塔婆立,https://www.nc-net.or.jp//company/47131/
392,株式会社田中製作所,工業用アナログ温度計,デジタル温度計,デジタル湿度計,https://www.nc-net.or.jp//company/50581/
393,森山工業株式会社,チタン、ニッケル、タンタルの溶接加工,食品、半導体、医薬品等のサニタリ配管,特殊金属による製缶、熱交換器の製作,https://www.nc-net.or.jp//company/43712/
394,株式会社河辺商会,自動車機構部品・電装部品,オーディオ・ビデオ・カメラ部品,特殊金属による製缶、熱交換器の製作,https://www.nc-net.or.jp//company/83178/
395,株式会社プラネックス前橋工場,3次元モデルの作成,加工図面等の作成,成形金型設計,https://www.nc-net.or.jp//company/77392/
396,Topcon Engineering,3次元モデルの作成,加工図面等の作成,成形金型設計,https://www.nc-net.or.jp//company/86878/
397,アイ・ティー・エス・ジャパン株式会社,ドイツ　ＧＡＢＯ社　動的粘弾性装置Eplexor　,イギリス Imatek社　ツイン・キャピラリィ・レオメーターR6000,イギリス Imatek社　衝撃試験機　IMシリーズ,https://www.nc-net.or.jp//company/83373/
398,タニコー株式会社原町工場,業務用食器洗浄機,イギリス Imatek社　ツイン・キャピラリィ・レオメーターR6000,イギリス Imatek社　衝撃試験機　IMシリーズ,https://www.nc-net.or.jp//company/80038/
399,中野精密株式会社,電子部品（コネクター）,精密部品（カメラ部品）,治工具,https://www.nc-net.or.jp//company/67155/
400,フジインターナショナル株式会社,産業用ワイヤーハーネス,民生用ワイヤーハーネス,アセンブリ製品設計製造,https://www.nc-net.or.jp//company/74507/
401,株式会社ティーズトラストコーポレーション,切削部品,ガラス・断熱材,金型・成形部品,https://www.nc-net.or.jp//company/91252/
402,有限会社秀和工業,金属・非金属　加工,メカ・ユニット組立,PVC配管組立,https://www.nc-net.or.jp//company/72587/
403,株式会社大西熱学,環境試験室,カロリーメータ,PVC配管組立,https://www.nc-net.or.jp//company/83385/
404,日本ハイコム株式会社,生産技術コンサルタント,生産設備の設計、制作,ハイコム式マイクロ波加熱装置の設計・制作・販売,https://www.nc-net.or.jp//company/79365/
405,株式会社マイクロ電子,マイクロメタル,フェライトコアビ-ズ,fair-rite,https://www.nc-net.or.jp//company/66132/
406,株式会社三洋マシナリー,センタレス研削盤,台湾製工作機械,中古機械,https://www.nc-net.or.jp//company/89356/
407,株式会社サトー,バーコードプリンタ,自動ラベリング装置,ラベル・紙・カード印刷製品,https://www.nc-net.or.jp//company/81768/
408,ラドデバイス株式会社,フォトダイオード,光学薄膜フィルター,ラベル・紙・カード印刷製品,https://www.nc-net.or.jp//company/31068/
409,株式会社カワムラ,ワイヤーハーネス製造,光学薄膜フィルター,ラベル・紙・カード印刷製品,https://www.nc-net.or.jp//company/58755/
410,山川成形工業株式会社,半導電スポンジローラー成型,シリコーンゴム成型,ラベル・紙・カード印刷製品,https://www.nc-net.or.jp//company/51980/
411,アールエスティエンジニアリング 株式会社,電子計測器,シリコーンゴム成型,ラベル・紙・カード印刷製品,https://www.nc-net.or.jp//company/60664/
412,株式会社キャロットコーポレーション,小径超硬ドリルの加工機械,ドリル研磨機,洗浄機,https://www.nc-net.or.jp//company/74452/
413,日本シールド株式会社浦和工場,電磁波シールドルーム製造,ラインフィルター製造,洗浄機,https://www.nc-net.or.jp//company/47649/
414,"NAWA INTERTECH CO.,LTD.",プラスチック押し出し,金属鍛造作業,洗浄機,https://www.nc-net.or.jp//company/95241/
415,前畑精機,パーツフィーダー,ツーリングメーカー,洗浄機,https://www.nc-net.or.jp//company/89146/
416,株式会社八光電装,デジタルスケール販売,ハーネス製造機械周辺機器開発販売,ハーネス製造中古設備販売,https://www.nc-net.or.jp//company/47206/
417,インターナショナルサービス株式会社,中古機械,"プラスチック金型,ダイカスト金型",ロストワックス,https://www.nc-net.or.jp//company/60591/
418,株式会社ツチモト,コンテナーバック,"プラスチック金型,ダイカスト金型",ロストワックス,https://www.nc-net.or.jp//company/95018/
419,三洋貿易株式会社,ー,"プラスチック金型,ダイカスト金型",ロストワックス,https://www.nc-net.or.jp//company/83383/
420,株式会社アジアディライトテクノロジー大田事務所,ＭＩＬ規格コネクタ、スイッチ、ケーブルハーネス、プリント基板,プリント基板(リジット基板、フレキ基板、アルミ基板対応),成型、金型、切削、アルミ加工、(金型パーツ対応)、各種組立て対応,https://www.nc-net.or.jp//company/81590/
421,株式会社セイロアジアネット,工作機械,プリント基板(リジット基板、フレキ基板、アルミ基板対応),成型、金型、切削、アルミ加工、(金型パーツ対応)、各種組立て対応,https://www.nc-net.or.jp//company/83507/
422,グローリープラン株式会社,木製椅子,木製テーブル,その他木製家具,https://www.nc-net.or.jp//company/71758/
423,ハリキ精工株式会社,精密切削部品,木製テーブル,その他木製家具,https://www.nc-net.or.jp//company/85862/
424,Sunmach Machinery,精密切削部品,木製テーブル,その他木製家具,https://www.nc-net.or.jp//company/86981/
425,有限会社羽後製作所,電源トランスEI19～ＥＩ１１４まで対応。,コイル製品,スイッチングトランス,https://www.nc-net.or.jp//company/83921/
426,NAKAMURA KAGAKU,プラスチック成型用附帯設備全般、材料乾燥装置（ホッパードライヤ）、金型温度調節機、冷却機など,コイル製品,スイッチングトランス,https://www.nc-net.or.jp//company/92607/
427,Ishita Industries,プラスチック成型用附帯設備全般、材料乾燥装置（ホッパードライヤ）、金型温度調節機、冷却機など,コイル製品,スイッチングトランス,https://www.nc-net.or.jp//company/87055/
428,合資会社徳亜大連事業所,木材加工機械,K型ムービングプレナー,部品加工,https://www.nc-net.or.jp//company/74066/
429,"KOHBYO（THAILAND）CO,.LTD",精密ヘッダーパーツ（φ0.8-20.0）,ねじ　M1.2~M14,ねじ供給機（ネジーナ）販売,https://www.nc-net.or.jp//company/89752/
430,東莞市徳諾斯精密模具有限公司,精密成型用金型部品製作,プレス用パンチorダイ,プラスチック金型製作,https://www.nc-net.or.jp//company/91584/
431,Lucy Engineering Works Pvt. Ltd.,精密成型用金型部品製作,プレス用パンチorダイ,プラスチック金型製作,https://www.nc-net.or.jp//company/86862/
432,CHUNICHI MOLD,各種金型の設計、製造,プレス用パンチorダイ,プラスチック金型製作,https://www.nc-net.or.jp//company/92574/
433,普莱徳精密有限公司,TV関連部品,プレス用パンチorダイ,プラスチック金型製作,https://www.nc-net.or.jp//company/83879/
434,株式会社橘製作所,金型設計/製作,２色成形金型,試作・量産,https://www.nc-net.or.jp//company/89429/
435,株式会社クオリアル,製品設計受託,3D-CAD設計,3D-CADモデリング,https://www.nc-net.or.jp//company/87718/
436,日本エス・エム・テー株式会社,プリント基板への高密度実装、組立,設計、評価、製造のサポート,3D-CADモデリング,https://www.nc-net.or.jp//company/66012/
437,株式会社UACJ金属加工,自動車用コンポーネンツ,熱交換器製品,金属プレス部品,https://www.nc-net.or.jp//company/92122/
438,株式会社西尾硝子鏡工業所,セミDX　(屋外で使用できる簡易防湿加工の鏡),デザインガラスの制作,フィルム加工,https://www.nc-net.or.jp//company/81687/
439,株式会社コンサス,ステンレス製バルブ,サニタリーバルブ,レバーロックカップリング,https://www.nc-net.or.jp//company/67165/
440,"Fuji Blastech（Thailand） Co., Ltd.",サンドブラスト装置の設計・製作、テスト加工,サニタリーバルブ,レバーロックカップリング,https://www.nc-net.or.jp//company/90014/
441,株式会社JBYインターナショナル,工業用部品,医療用部品,弦楽器パーツ,https://www.nc-net.or.jp//company/78212/
442,有限会社ビリガル実業,金属プレス加工,アルミ、亜鉛、マグネシウムのダイカスト（ダイキャスト）鋳造,弦楽器パーツ,https://www.nc-net.or.jp//company/91029/
443,株式会社ＴＲＵＳＴ,精密、高難易度金型設計製作,ＣＡＤ／ＣＡＭ販売,金属プレス、樹脂製品生産販売,https://www.nc-net.or.jp//company/90824/
444,住軽商事株式会社,非鉄金属材料(板・条・管・棒・形材),非鉄金属一次加工(鋳造・鍛造・プレス・切削),非鉄金属二次加工(溶接・研磨・めっき・塗装),https://www.nc-net.or.jp//company/78144/
445,深セン市合創技術有限公司,金属部品,樹脂部品,非鉄金属二次加工(溶接・研磨・めっき・塗装),https://www.nc-net.or.jp//company/95341/
446,豊ダイカスト工業株式会社,ダイカスト,機械加工,表面処理,https://www.nc-net.or.jp//company/86006/
447,株式会社カンネツ,ウォータレス金型冷温調機製造販売,工場全体の水質・水量・水温管理システム製造施工及び配管工事,クリーンルーム・クリーンブース,https://www.nc-net.or.jp//company/81295/
448,プレシャス株式会社,プラスチック金型製造,工場全体の水質・水量・水温管理システム製造施工及び配管工事,クリーンルーム・クリーンブース,https://www.nc-net.or.jp//company/76288/
449,株式会社  サンケイケムテック本社・横浜工場,シボ加工,エッチング加工,腐蝕加工,https://www.nc-net.or.jp//company/72701/
450,"NARIDE BANGKOK CO.,LTD.",電子部品専門商社,部品調達、開発,組み立て,https://www.nc-net.or.jp//company/89881/
451,吉川化成株式会社,各種射出成形プラスチックス製品,各種射出成形プラスチックス金型,各種プラスチックス二次加工製品,https://www.nc-net.or.jp//company/92214/
452,株式会社ティー・エム・ユニティー,プリント基板設計・伝送経路シュミレーション,プリント基板製造・試作＆量産,電子部品実装・試作＆量産,https://www.nc-net.or.jp//company/84211/
453,株式会社山一,冷凍冷房用コンプレッサ部品・アキュームレータ,OA機器部品プレス加工組立,省力機器筐体,https://www.nc-net.or.jp//company/46652/
454,デンケンエンジニアリング株式会社,ICハンドラー,光造形装置,ファンクションテスタ,https://www.nc-net.or.jp//company/66011/
455,株式会社マツサカエンジニアリング多気工場,ポンプ製造,超細霧装置,高圧洗浄機,https://www.nc-net.or.jp//company/74861/
456,浪速工業株式会社,エレベ-タ-用シ-ブ製造,フォ-クリフト用パ-ツ製造,産業用減速機製造,https://www.nc-net.or.jp//company/75326/
457,大同電磁工業株式会社,スタッキングマシン,連続鋳造機,各種コンベア,https://www.nc-net.or.jp//company/85689/
458,Swastik Engineering Works,スタッキングマシン,連続鋳造機,各種コンベア,https://www.nc-net.or.jp//company/86968/
459,株式会社アドエイト,治具試作製作,連続鋳造機,各種コンベア,https://www.nc-net.or.jp//company/82036/
460,A. Kishore Industries,治具試作製作,連続鋳造機,各種コンベア,https://www.nc-net.or.jp//company/86927/
461,Redico Engineers,治具試作製作,連続鋳造機,各種コンベア,https://www.nc-net.or.jp//company/87037/
462,株式会社 エムケー・サイエンティフィック,温度計　温度ロガー　ガス検知器　オゾン計　ORP計　Pｈ計,連続鋳造機,各種コンベア,https://www.nc-net.or.jp//company/85991/
463,有限会社ヨコテック,組み込みシステム装置（アナログ、デジタル、マイコンソフト及びＰＣ操作ソフト）,ラインセンサーカメラ,テクノハンズ株式会社,https://www.nc-net.or.jp//company/93008/
464,D.M. Engineering,組み込みシステム装置（アナログ、デジタル、マイコンソフト及びＰＣ操作ソフト）,ラインセンサーカメラ,テクノハンズ株式会社,https://www.nc-net.or.jp//company/87031/
465,有限会社棚橋鉄工,産業機械　部品加工,紛体バルブ　アッセンブリー,真空ポンプ,https://www.nc-net.or.jp//company/91884/
466,日伸工業株式会社,自動車用プレス部品,電池用プレス部品,携帯端末用プレス部品,https://www.nc-net.or.jp//company/79616/
467,新日本工業株式会社,FAシステム（自動化）設計製作、FA・自動機開発,単品・治工具部品の加工,産業用ロボットのプログラム作成、ティーチング調整,https://www.nc-net.or.jp//company/78779/
468,株式会社イワハシ,トイレ、キッチン、バス、洗濯、収納、100均製品,プラスチック製弁当箱、保存容器,エアコン用部品(プロぺラファン、シロッコファン、モーター、バブル機能部品）,https://www.nc-net.or.jp//company/35835/
469,有限会社エムアイテクニカ,固体潤滑コーティング,ピストンコーティング、チタンコーティング,Whitford社製、Xylan取扱い,https://www.nc-net.or.jp//company/46246/
470,橋本エンジニアリング株式会社,試作部品を主とする部品加工,治工具　設計・製作サービス,超軽量＆ノーメンテ　チタン製鋳造用器具「ＤＴｉ」,https://www.nc-net.or.jp//company/95448/
471,岡村機工株式会社,精密板金加工,プレス金型加工,プレス加工,https://www.nc-net.or.jp//company/33500/
472,旭モールディング株式会社,樹脂精密成型加工,樹脂精密金型製作,企画提案　CAD設計,https://www.nc-net.or.jp//company/65866/
473,株式会社キョクトー,溶接用電極製造,チップドレッサー製造,ナゲットグラフィー,https://www.nc-net.or.jp//company/46434/
474,オービー工業株式会社,精密プラスチック部品の製造販売,金型・治工具の製造販売,すべり軸受の販売,https://www.nc-net.or.jp//company/22306/
475,株式会社ゴーキン,アルミダイカスト製品鋳造,亜鉛ダイカスト製品鋳造,すべり軸受の販売,https://www.nc-net.or.jp//company/45756/
476,株式会社太陽技研東京支店,事務用機器、紙折機・コレーター・ラミネ-ター,食品関連機器,その他機械製品・アッセンブリ製造、板金加工・組立,https://www.nc-net.or.jp//company/65969/
477,株式会社ケーエムケー,プラスチック金型製造,射出成形,その他機械製品・アッセンブリ製造、板金加工・組立,https://www.nc-net.or.jp//company/78656/
478,太陽化工機有限会社,機械設計,粉・熱・ガスをコンバインした技術,化学機械技術士,https://www.nc-net.or.jp//company/70807/
479,CKデザイン有限会社,製品商品開発プロジェクト支援,オートバイ,プラスチック車椅子,https://www.nc-net.or.jp//company/24946/
480,有限会社ケイ・エム・エス,樹脂、金属NC機械加工,航空機・宇宙・ロボット部品,真空成型金型、プラグ製作,https://www.nc-net.or.jp//company/45886/
481,池田工業株式会社,精密超硬順送金型,積層コアー金型,ファインブランキング型,https://www.nc-net.or.jp//company/34411/
482,JFEプラントエンジ株式会社,開閉装置付加圧・真空圧力容器,開閉装置部品(クラッチ、パッキンなど),圧力容器メンテナンス,https://www.nc-net.or.jp//company/22366/
483,石崎プレス工業株式会社,ボタン・コイン・円筒形電池部品のプレス加工,携帯電話・自動車部品のプレス加工,服飾付属品製造販売,https://www.nc-net.or.jp//company/47116/
484,ヒロセ電子株式会社,短納期プリント基板設計・製作,BGA・CSP実装,部材調達,https://www.nc-net.or.jp//company/65070/
485,センダイ工業株式会社,粘着テープ抜き加工,粘着テープスリット加工,粘着テープラミネート加工,https://www.nc-net.or.jp//company/65247/
486,株式会社松電プロダクト,自動車用ワイヤーハーネス,電装系自動車用品,デザイン系自動車用内装製品,https://www.nc-net.or.jp//company/88473/
487,四方工業株式会社,液晶モジュールのベゼル加工,スマートフォンモジュールのベゼル,ノートパソコン用ヒンジ部品の加工,https://www.nc-net.or.jp//company/84973/
488,有限会社新生,輸出梱包、木枠梱包、木箱梱包、強化ダンボール（トライウォール）梱包サービス,木枠梱包箱、合板梱包箱、通い箱など各種梱包箱の作成,ダンボール箱、梱包資材各種の販売,https://www.nc-net.or.jp//company/84516/
489,東洋鐵芯工業  株式会社,電磁鋼板加工販売,金型用精密大型ダイセット(ミクロン精度),精密高速順送金型製造,https://www.nc-net.or.jp//company/58788/
490,カンメタエンジニアリング株式会社,防食溶射,ブラスト・ショットピーニング,非粘着コーティング,https://www.nc-net.or.jp//company/72457/
491,高盛工業,インターナル製缶,耐圧容器,特殊スクリーン溶接,https://www.nc-net.or.jp//company/77739/
492,株式会社サンドリーム,太陽電池(ソ-ラ-システム)設計製造販売,DC/ACインバ-タ-製造販売,LED電飾看板設計製造販売,https://www.nc-net.or.jp//company/47396/
493,三和研磨工業 株式会社 京都薄膜材料研究所,蒸着材料,受託成膜加工,LED電飾看板設計製造販売,https://www.nc-net.or.jp//company/47526/
494,中遠電子工業株式会社,トランス,コイル,電源装置,https://www.nc-net.or.jp//company/76216/
495,株式会社高橋製作所埼玉寄居工場,天体望遠鏡,コイル,電源装置,https://www.nc-net.or.jp//company/81655/
496,傘骨屋,洋傘・洋傘骨製造・パラソル・パラソル骨製造・特殊傘骨製造。,手作り傘キット製造,電源装置,https://www.nc-net.or.jp//company/83553/
497,振永企業社仁川工場,"ER COLLET(Tab, oil hole)CRコレット，STRAIGHT COLLET(Milling tools)SCコレット","ミーリングチャック,コレットチャック",スパナ、ナット,https://www.nc-net.or.jp//company/81978/
498,ダイナオックス株式会社,高精度中国製ステンレスパイプ,"ミーリングチャック,コレットチャック",スパナ、ナット,https://www.nc-net.or.jp//company/89102/
499,協和界面科学株式会社,接触角計表面張力計摩擦計,"ミーリングチャック,コレットチャック",スパナ、ナット,https://www.nc-net.or.jp//company/81865/
500,TEORIC,精密プレス金型部品,"ミーリングチャック,コレットチャック",スパナ、ナット,https://www.nc-net.or.jp//company/92591/
